AAPL,,,,,
Date,Open,High,Low,Close,Volume
2025-11-10,195.11000061035156,199.94000244140625,193.7899932861328,199.0500030517578,198897100.0
2025-11-11,195.16000366210938,195.4199981689453,191.3000030517578,193.16000366210938,176483300.0
2025-11-12,195.72000122070312,195.88999938964844,191.1300048828125,193.8000030517578,154935300.0
2025-11-13,191.0500030517578,191.44000244140625,183.85000610351562,186.86000061035156,207423100.0
2025-11-14,182.86000061035156,191.00999450683594,180.5800018310547,190.1699981689453,186591900.0
2025-11-17,185.97000122070312,189.0,184.32000732421875,186.60000610351562,173628900.0
2025-11-18,183.3800048828125,184.8000030517578,179.64999389648438,181.36000061035156,213598900.0
2025-11-19,184.7899932861328,187.86000061035156,182.8300018310547,186.52000427246094,247246400.0
2025-11-20,195.9499969482422,196.0,179.85000610351562,180.63999938964844,343504800.0
2025-11-21,181.23500061035156,184.55999755859375,172.94000244140625,178.8800048828125,343474282.0
,,,,,
GOOG,,,,,
Date,Open,High,Low,Close,Volume
2025-10-22,255.00999450683594,257.17999267578125,250.4510040283203,252.52999877929688,19650200.0
2025-10-23,253.6999969482422,255.86000061035156,252.76800537109375,253.72999572753906,13241300.0
2025-10-24,257.29998779296875,262.510009765625,256.1000061035156,260.510009765625,18406000.0
2025-10-27,265.3599853515625,270.79998779296875,264.94000244140625,269.92999267578125,22987700.0
2025-10-28,270.20001220703125,271.3800048828125,267.1700134277344,268.42999267578125,20101200.0
2025-10-29,268.6099853515625,275.9700012207031,268.42999267578125,275.1700134277344,26287900.0
2025-10-30,291.7200012207031,291.92999267578125,280.45001220703125,281.8999938964844,48570000.0
2025-10-31,283.2049865722656,286.2850036621094,277.52301025390625,281.82000732421875,29932800.0
2025-11-03,282.4200134277344,285.94000244140625,280.3699951171875,284.1199951171875,19691800.0
2025-11-04,277.06500244140625,281.8340148925781,276.864990234375,278.05999755859375,18123700.0
2025-11-05,279.3800048828125,286.70001220703125,277.8800048828125,284.75,20063200.0
2025-11-06,285.7349853515625,288.80999755859375,281.6199951171875,285.3399963378906,23103800.0
2025-11-07,284.2099914550781,284.5,275.739990234375,279.70001220703125,21991100.0
2025-11-10,285.2650146484375,291.4599914550781,283.5400085449219,290.5899963378906,19508200.0
2025-11-11,288.20001220703125,292.3399963378906,287.8800048828125,291.739990234375,14156700.0
2025-11-12,292.0849914550781,292.3599853515625,284.3800048828125,287.42999267578125,16998800.0
2025-11-13,282.9849853515625,283.510009765625,278.0,279.1199951171875,18060200.0
2025-11-14,271.8949890136719,279.1499938964844,271.4100036621094,276.9800109863281,18330500.0
2025-11-17,286.3999938964844,294.5199890136719,284.2300109863281,285.6000061035156,34286100.0
2025-11-18,288.4849853515625,289.43499755859375,279.010009765625,284.9599914550781,29702200.0
2025-11-19,287.68499755859375,304.25,287.6700134277344,292.989990234375,43123600.0
2025-11-20,304.739990234375,306.8900146484375,289.1700134277344,289.9800109863281,34801400.0
2025-11-21,297.2900085449219,303.9599914550781,294.3599853515625,299.6499938964844,43507900.0
,,,,,
META,,,,,
Date,Open,High,Low,Close,Volume
2025-10-22,733.8300170898438,740.5999755859375,724.030029296875,733.4099731445312,8734500.0
2025-10-23,734.7000122070312,742.4099731445312,733.0999755859375,734.0,9856000.0
2025-10-24,736.7899780273438,741.2100219726562,731.1500244140625,738.3599853515625,9151300.0
2025-10-27,749.72998046875,755.75,748.010009765625,750.8200073242188,11321100.0
2025-10-28,752.6300048828125,758.4000244140625,745.52001953125,751.4400024414062,12193800.0
2025-10-29,754.75,759.1599731445312,742.510009765625,751.6699829101562,26818600.0
2025-10-30,669.1500244140625,680.9600219726562,650.1699829101562,666.469970703125,88440100.0
2025-10-31,674.510009765625,674.8900146484375,645.5700073242188,648.3499755859375,56953200.0
2025-11-03,656.0,659.3300170898438,636.1799926757812,637.7100219726562,33003600.0
2025-11-04,628.0399780273438,641.739990234375,626.010009765625,627.3200073242188,27356600.0
2025-11-05,632.3099975585938,642.22998046875,626.5399780273438,635.9500122070312,20219900.0
2025-11-06,635.8499755859375,636.0,618.0,618.9400024414062,23628800.0
2025-11-07,616.489990234375,622.1300048828125,601.2000122070312,621.7100219726562,29946800.0
2025-11-10,631.0900268554688,635.0,618.1099853515625,631.760009765625,19245000.0
2025-11-11,628.0,629.5599975585938,619.3900146484375,627.0800170898438,13302200.0
2025-11-12,628.1300048828125,628.989990234375,607.77001953125,609.010009765625,24493300.0
2025-11-13,613.0700073242188,617.6500244140625,603.0,609.8900146484375,20973800.0
2025-11-14,601.7899780273438,613.6799926757812,595.2000122070312,609.4600219726562,20724100.0
2025-11-17,609.0399780273438,611.6900024414062,595.4000244140625,602.010009765625,16501300.0
2025-11-18,591.5999755859375,603.6599731445312,583.780029296875,597.6900024414062,25500600.0
2025-11-19,593.719970703125,595.3300170898438,581.25,590.3200073242188,24744700.0
2025-11-20,603.5,606.719970703125,583.3499755859375,589.1500244140625,20603000.0
2025-11-21,588.5,598.1199951171875,581.8599853515625,594.25,20524255.0
,,,,,
TSLA,,,,,
Date,Open,High,Low,Close,Volume
2025-10-22,443.45001220703125,445.5400085449219,429.0,438.9700012207031,84023500.0
2025-10-23,420.0,449.3999938964844,413.8999938964844,448.9800109863281,126709800.0
2025-10-24,446.8299865722656,451.67999267578125,430.1700134277344,433.7200012207031,94727800.0
2025-10-27,439.9800109863281,460.1600036621094,438.69000244140625,452.4200134277344,105867500.0
2025-10-28,454.7799987792969,467.0,451.6000061035156,460.54998779296875,80185700.0
2025-10-29,462.5,465.70001220703125,452.6499938964844,461.510009765625,67983500.0
2025-10-30,451.04998779296875,455.05999755859375,439.6099853515625,440.1000061035156,72447900.0
2025-10-31,446.75,458.0,443.69000244140625,456.55999755859375,83135800.0
2025-11-03,455.989990234375,474.07000732421875,453.79998779296875,468.3699951171875,84595200.0
2025-11-04,454.4599914550781,460.2200012207031,443.6000061035156,444.260009765625,87756600.0
2025-11-05,452.04998779296875,466.3299865722656,440.7099914550781,462.07000732421875,85573000.0
2025-11-06,461.9599914550781,467.45001220703125,435.0899963378906,445.9100036621094,109622900.0
2025-11-07,437.9200134277344,439.3599853515625,421.8800048828125,429.5199890136719,103471500.0
2025-11-10,439.6000061035156,449.6700134277344,433.3599853515625,445.2300109863281,76515900.0
2025-11-11,439.3999938964844,442.489990234375,432.3599853515625,439.6199951171875,60533200.0
2025-11-12,442.1499938964844,442.3299865722656,426.55999755859375,430.6000061035156,58513500.0
2025-11-13,423.1300048828125,424.5,396.3399963378906,401.989990234375,118948000.0
2025-11-14,386.29998779296875,412.19000244140625,382.7799987792969,404.3500061035156,105506700.0
2025-11-17,398.739990234375,423.9599914550781,398.739990234375,408.9200134277344,102214300.0
2025-11-18,405.3800048828125,408.8999938964844,393.7099914550781,401.25,80688600.0
2025-11-19,406.17999267578125,411.7799987792969,398.5,403.989990234375,72047700.0
2025-11-20,414.6300048828125,428.94000244140625,394.739990234375,395.2300109863281,113548800.0
2025-11-21,402.2950134277344,402.79998779296875,384.239990234375,391.0899963378906,99125790.0
,,,,,
AMD,,,,,
Date,Open,High,Low,Close,Volume
2025-10-22,236.85000610351562,240.1300048828125,224.8800048828125,230.22999572753906,59668800.0
2025-10-23,230.16000366210938,235.89999389648438,228.5399932861328,234.99000549316406,39024400.0
2025-10-24,243.36000061035156,253.38999938964844,241.9499969482422,252.9199981689453,71221100.0
2025-10-27,257.8800048828125,260.4200134277344,249.8000030517578,259.6700134277344,65613100.0
2025-10-28,259.1400146484375,264.5799865722656,257.0,258.010009765625,47448700.0
2025-10-29,264.19000244140625,267.0799865722656,257.3999938964844,264.3299865722656,49335600.0
